orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label,radius_ratio,depth_per_duration,orbital_period_log,planet_radius_log,transit_depth_log,label_encoded
0.955297055,1.7405,18.16,846.1,0.734,5319.0,false_positive,24.74114441416894,486.1246768170066,0.6705421281862206,2.9528247725427144,6.741818751437505,4
2.18660188,1.585,0.98,122.3,0.772,4904.0,confirmed,1.2694300518134713,77.1608832807571,1.158955107644599,0.6830968447064438,4.814620410170298,2
18.277358,3.227,1.933,1131.0,0.636,4280.0,candidate,3.039308176100629,350.4803222807561,2.958931246597473,1.0760257899953138,7.0317412587631285,1
8.006875,3.227,2.384,1131.0,0.846,5403.0,candidate,2.817966903073286,350.4803222807561,2.1979881746104892,1.2190584417439767,7.0317412587631285,1
1.33258458,3.222,1.25,127.0,1.086,6384.0,false_positive,1.151012891344383,39.41651148355059,0.8469769146039009,0.8109302162163288,4.852030263919617,4
0.67554,0.922,15.6973,680.0,2.74,4872.0,false_positive,5.728941605839416,737.527114967462,0.5161355013808671,2.815247029704925,6.523562306149512,4
0.915782856,2.24,32.86,301.0,1.333,6318.0,false_positive,24.651162790697676,134.375,0.6501263411845742,3.522234376704989,5.71042701737487,4
3.735051,2.4293974,14.2690959,8964.0239073,1.36818,5829.0,candidate,10.429253387712144,3689.8137403538835,1.554992497435369,2.7258309098811075,9.10108605277299,1
2.1208156,0.8427764,0.837844,1148.8773237,0.210908,3222.0,candidate,3.972556754603903,1363.2053812850004,1.1380943779160935,0.6085931454674377,7.0474105406236305,1
0.933728755,4.363,0.72,13.5,1.863,6652.0,false_positive,0.3864734299516908,3.094201237680495,0.6594501364194483,0.5423242908253617,2.6741486494265287,4
10.0044,3.227,1.69,1131.0,0.435,4044.0,confirmed,3.8850574712643677,350.4803222807561,2.3982951928196976,0.9895411936137477,7.0317412587631285,2
31.71802083162,3.227,2.29980485,1131.0,1.30883,6352.33,confirmed,1.7571455804038723,350.4803222807561,3.4879260218738977,1.1938633303601744,7.0317412587631285,2
3.1208396,2.405278,16.2108254,17027.4064902,1.09921,5983.0,kp,14.7477055339744,7079.184397894962,1.4160569290075726,2.845538569561469,9.742638198532976,5
104.8729635,6.554,10.223,12183.0,0.88,5350.0,confirmed,11.617045454545455,1858.8648153799206,4.6622399178403535,2.417965244034119,9.407878894574997,2
8.747818,3.227,3.55790985,1131.0,0.887267,5525.0,confirmed,4.009965264120045,350.4803222807561,2.277043465092152,1.516864152216313,7.0317412587631285,2
0.905672916,1.0,0.76,110.4,0.741,4949.0,false_positive,1.0256410256410258,110.4,0.64483518295066,0.5653138090500605,4.713127327493184,4
0.865759153,0.8408,1.53,191.6,1.076,6249.0,false_positive,1.4219330855018586,227.87821122740246,0.6236680228192827,0.9282193027394289,5.260615499364025,4
11.2005651,1.367,15.4812,7000.0,1.63,5682.2,apc,9.497668711656441,5120.702267739575,2.5014822703386193,2.802220337364384,8.853808274977197,0
18.6922101,7.765,18.1458,11126.0,1.65,6277.0,false_positive,10.997454545454547,1432.8396651641983,2.9802231311463703,2.9520833704234297,9.3171298661577,4
134.4785189,5.9288,10.52,4033.5,1.336,5791.0,confirmed,7.874251497005988,680.3231682633923,4.908813095648893,2.444084655267745,8.302637657288562,2
15.3058859,3.463,13.4962,6498.0,1.75,6803.6,candidate,7.712114285714286,1876.4077389546635,2.791526140791976,2.6738865461149395,8.77940359789435,1
45.0854117,1.646,7.92062,7870.0,0.8,5013.0,candidate,9.900775,4781.287970838396,3.830496450898184,2.1883654509028947,8.97094039814245,1
9.08233411,2.008,1.35,296.9,0.788,5354.0,confirmed,1.7131979695431472,147.85856573705178,2.3107847943694297,0.8544153281560676,5.696757859719236,2
1.3821651,2.435,17.6176,9250.0,1.94,7662.0,candidate,9.081237113402063,3798.7679671457904,0.8680097800341158,2.9241073698786906,9.132486932771318,1
10.18108,3.674,2.66019,1190.0,0.78,4822.0,candidate,3.4105,323.89765922700053,2.414223064134715,1.2975150586341702,7.0825485693553,1
87.5177787,2.55,1.85,136.5,1.137,5903.0,confirmed,1.6270888302550572,53.529411764705884,4.483203421103874,1.0473189942805592,4.923623917106626,2
13.841901,3.227,2.5,1131.0,0.95,5695.0,confirmed,2.6315789473684212,350.4803222807561,2.697454329265623,1.252762968495368,7.0317412587631285,2
2.60720833,2.6452,7.31,3149.7,1.236,6366.0,candidate,5.914239482200647,1190.722818690458,1.2829341573924193,2.1174596088673567,8.055379929354201,1
16.607299,3.227,2.532,1131.0,0.756,4878.0,candidate,3.3492063492063493,350.4803222807561,2.8683135319823228,1.2618642827417137,7.0317412587631285,1
3.06555,2.483,5.41363,2920.0,0.71,5285.0,false_positive,7.6248309859154935,1175.996778091019,1.4025490352003849,1.8584254132958498,7.979681302387741,4
1.404411,3.227,99.0,1131.0,2.02,6933.0,false_positive,49.00990099009901,350.4803222807561,0.8773049671183374,4.605170185988092,7.0317412587631285,4
6.66833241,1.915,1.18,362.3,0.591,4201.0,confirmed,1.996615905245347,189.19060052219322,2.037099174530708,0.7793248768009976,5.895228939227156,2
1.19260017,1.502,0.77,58.0,1.013,5600.0,candidate,0.7601184600197435,38.61517976031957,0.7850881317918215,0.5709795465857378,4.07753744390572,1
3.8795023,3.647,14.0735,12260.0,1.26,6048.0,candidate,11.169444444444444,3361.667123663285,1.5850432269590382,2.712938235174986,9.414178772232386,1
0.839907158,1.019,0.92,119.6,0.853,5120.0,candidate,1.0785463071512311,117.36997055937194,0.6097151127391707,0.6523251860396903,4.792479284293085,1
3.0758364,2.567,5.09878,2346.0,1.15,5745.0,candidate,4.433721739130434,913.9072847682119,1.4050759771653543,1.8080887511765984,7.760893195851024,1
30.0,3.227,22.8,1131.0,0.89,3400.0,candidate,25.617977528089888,350.4803222807561,3.4339872044851463,3.169685580677429,7.0317412587631285,1
5.885604,1.87,18.5216,4046.0,2.72,6294.0,candidate,6.809411764705882,2163.6363636363635,1.9294328552754638,2.9715215448389327,8.305731144875866,1
0.907943645,1.9144,49.37,1028.9,1.166,6434.0,false_positive,42.341337907375646,537.4529878813205,0.6460260364263717,3.9193957597575593,6.937216989131756,4
3.8480185,1.1083039,9.202299,2995.870385,1.12835,6153.0,apc,8.155535959587008,2703.1127337907956,1.578570064766333,2.322613087050092,8.005323818133183,0
452.10093,12.69,2.08,464.0,0.956,6276.0,false_positive,2.175732217573222,36.564223798266354,6.116114904198022,1.1249295969854831,6.142037405587356,4
119.0192648,8.1,4.44,1977.0,0.905,5754.0,false_positive,4.906077348066298,244.07407407407408,4.7876522698968795,1.6937790608678513,7.589841512182657,4
10.31453308,3.6641,29.6,2004.1,0.837,6335.0,false_positive,35.364396654719236,546.9555961900603,2.4260880126573854,3.4210000089583352,7.603449213808658,4
3.121181,1.417,5.74349,571.0,2.06,7814.0,apc,2.788101941747573,402.96400846859564,1.416139772770471,1.9085775950642074,6.349138991379798,0
3.5941651,1.882,1.31196,100.0,1.39,5694.0,candidate,0.9438561151079138,53.13496280552604,1.5247870418013807,0.8380956496224041,4.61512051684126,1
3.2367,3.227,1.58,1131.0,0.74,4863.0,candidate,2.135135135135135,350.4803222807561,1.4437846643229155,0.9477893989335261,7.0317412587631285,1
6.7053949,3.8459321,3.7076274,575.2056582,1.45858,6141.0,candidate,2.5419431227632354,149.5620939849666,2.041920719892203,1.5491840443799947,6.356464642456431,1
5.4146235,2.9417261,6.6139476,4983.0756289,0.880213,4888.0,confirmed,7.514030808452046,1693.9291625076855,1.858580305776262,2.02998177587726,8.51400323469004,2
38.5833679,12.391,8.56,1388.2,1.927,6273.0,confirmed,4.44213803840166,112.03292712452587,3.6784090275094177,2.25758772706331,7.236483320869919,2
499.47338,12.248,3.71,1662.0,0.817,5251.0,candidate,4.541003671970625,135.69562377531025,6.21555441052762,1.5496879080283263,7.416378479192928,1
